text,favoriteCount,retweetCount
"Starticle/weekend's/

https://t.co/tizfMFSkX2

#weekend's ##",0,0
#germany #nature #sirwolf #neighborhood #photography #weekend #freetime #friday https://t.co/GLFPDMvHYH,0,0
How to make your weekends more productive #Productivity #life #coaching #family #weekend https://t.co/v1CeJ3EX21,0,0
"Start your #weekend right 

https://t.co/YcLCNFHeQ4

#raspberry #dessert #pudding",0,0
"Pagi buta gini udah buat hatiku buta.. Gegara kamu
Iyyyaaa kamu
Nyebelin banget sih 

#weekend
#tetepdirumah
#iyadirumah",1,0
"

 #weekend 
 https://t.co/BlMnxmg7Yx",1,0
Im on #weekend sunrise just before the 8 oclock news.  What is going to happen to Virgin Airlines? Plus the latest on coronavirus.,1,0
Are you a budding #graphic designer? Would you like to help your #community during #Covid19UK whilst https://t.co/NgQ3eVkWZq,0,0
Another #weekend approaching; another chance to peruse a few #auction #sales to see what they have on offer - such https://t.co/kFJyjMTwaN,0,0
"Listen now to The Friday Request Show
at Hospital Radio Reading @HRReading 
 today with Paul Arthur https://t.co/wW0OQPNaF8",1,1
Have a great #weekend! https://t.co/IZZUh4dUyt,0,0
@AnoukDEQUE @FlashTweet @CrassusDT @3itcom @BoostElles @DominiqueCrochu @ValerieAsselot @sfouille @Nad_Alves https://t.co/5xUijzhVGs,1,0
ITS THE WEEKEND! Enjoy this weeks Witnessing History Movie of the Week! UNSUNG HERO: THE HORSE IN THE CIVIL WAR https://t.co/Z83ARlpwre,1,1
You're GOOD TO-GO when you order online this weekend. https://t.co/gtg07zdKCi #GoodToGo #Weekend #OnlineOrdering https://t.co/oU3VDAIoTX,0,0
"Took a while, but I think I'm finally happy with my contribution to this #SixFanartsChallenge #sixfanarts https://t.co/xaBiq4Svfs",1,0
#Fresh croissants &amp; flowers from David @MidtownChap - thank you darling! Prepping for the #weekend (w lots of cook https://t.co/2ftuZwalad,0,0
#Ramayan #weekend #staurdaythoughts #memesdaily https://t.co/82v9qN3hn9,0,0
"Is it just me, or has this week felt long, despite BH Monday? Anyway, here's a smiley muntjac #deer to start your https://t.co/XmRK6In8WP",0,0
Home practice is lit. #yoga #ShelterInPlace #QuarantineLife #coronavirus #Covid_19 #StayHome #weekend https://t.co/qmq2EItFCL,4,0
#Ramayan #weekend #staurdaythoughts #memesdaily https://t.co/sRUG6EB4JS,0,0
"Just did my Covid-19 test I bought off eBay.

Apparently Im pregnant....?

#TGIF #coronababy #corona #humor https://t.co/EbirEmJRzt",1,0
#weekend https://t.co/yPc3YktvEK,1,0
"Listen now to The Friday Request Show
at Hospital Radio Reading @HRReading 
 today with Paul Arthur https://t.co/ZLwu2yn0aE",1,1
#photography #sirwolf #weekend #germany #freetime #friday #nature #neighborhood https://t.co/nyUhUtmTrL,0,0
"Weekend escape, much needed!!
#gocoronago #victory #victorymotorcycles #victorycrossroads #oneofakind #bahrain https://t.co/FJ3hAnjdPq",0,0
countdown to the #weekend with #totp1989 catch up now....creating happy sing-along  #FridayVibes ...give me giv https://t.co/h6W1y2MwgI,0,0
"From your friendly cabinet hardware distributor...Wishing you a weekend full of love and laughter!

#Kitply https://t.co/bwnSPIvoRv",0,0
countdown to the #weekend with #totp1989 catch up now....creating happy sing-along  #FridayVibes ...give me giv https://t.co/Lw5JJ7EFQQ,0,0
Take some time this weekend to do things that bring you joy that you can do indoors. That can help you relax. #lawyers #legaltech #weekend,0,0
And finally for tonight I'll leave you with this sunset. Thanks so much for all your comments today and glad you li https://t.co/C1OuRA3NdT,29,3
#nature #sirwolf #germany #neighborhood #weekend #freetime #friday #photography https://t.co/BqTIbFspKl,0,0
"It's Friday afternoon! Stay safe from #covid19, but enjoy your #weekend! #socialdistancing is important. https://t.co/7UFmUl8HL1",0,0
#weekend  #friday #thankgod #pause #breathe #relax #repeat #instaphotography #newjersey #nature #peaceful #lovethis https://t.co/fuJNLVl3ZE,0,0
"As we head into the weekend, we would like to hear your thoughts about sending thank you messages to employers wh https://t.co/ZxiDpL80ea",0,0
#necessityisthemotherofinvention if the #salon is closed but I can get my #mudmask .... I may be have to https://t.co/l7BAdoWNTn,0,0
@BLU3L4ZU4RD1 @mariachimario @Omo_Alufa_ @irvinejulie @Hsnklil @tadayokun @ChariiDavid @Chmac9 @ishaz1992 https://t.co/pN1T8dCxWh,2,1
Technically its 2 Moscow Mules.  So Im calling it Two Mules for Sister Gladys #HappyFriday #weekend https://t.co/1pH37KSgRK,0,0
